Lick Value,Lick Time,Lick Stamp
1,1004,1.00
2,425,1.60
3,125,1.75
4,121,1.91
5,98,2.04
6,99,2.16
7,76,2.27
8,103,2.40
9,79,2.51
10,77,2.61
11,75,2.72
12,84,2.83
13,85,2.95
14,59,3.03
15,68,3.13
16,58,3.22
17,65,3.31
18,67,3.41
19,41,3.48
20,92,3.60
21,50,3.68
22,87,3.80
23,21,3.85
24,92,3.97
25,36,4.03
26,525,4.59
27,67,4.69
28,66,4.78
29,54,4.87
30,46,4.94
31,49,5.02
32,58,5.11
33,54,5.19
34,45,5.27
35,59,5.36
36,28,5.41
37,67,5.51
38,79,5.65
39,89,5.78
40,92,5.92
41,75,6.04
42,79,6.17
43,88,6.32
44,59,6.43
45,7,6.47
46,81,6.57
47,19,6.62
48,64,6.72
49,21,6.77
50,30,6.83
51,36,6.89
52,44,6.97
53,36,7.03
54,21,7.09
55,37,7.15
56,51,7.23
57,20,7.28
58,62,7.37
59,18,7.42
60,62,7.51
61,9,7.55
62,69,7.64
63,9,7.68
64,74,7.78
65,92,7.91
66,11,7.95
67,83,8.06
68,95,8.18
69,90,8.31
70,5,8.34
71,86,8.46
72,256,8.74
73,106,8.88
74,94,9.01
75,8,9.04
76,209,9.28
77,90,9.40
78,14,9.45
79,69,9.55
80,11,9.59
81,61,9.68
82,6,9.71
83,58,9.80
84,16,9.85
85,36,9.91
86,28,9.97
87,70,10.07
88,54,10.15
89,38,10.22
90,72,10.33
